playerClass,type,cost,health,rarity,collectible
NEUTRAL,MINION,1...5,1...5,RARE,TRUE
NEUTRAL,MINION,>5,>5,COMMON,TRUE
NEUTRAL,MINION,>5,1...5,COMMON,FALSE
NEUTRAL,HERO,0,0,COMMON,FALSE
NEUTRAL,HERO,0,>5,COMMON,TRUE
MAGIC,SPELL,0,0,COMMON,FALSE
MAGIC,MINION,1...5,1...5,RARE,TRUE
NEUTRAL,SPELL,0,0,COMMON,FALSE
NEUTRAL,HERO,0,>5,COMMON,TRUE
NEUTRAL,MINION,1...5,1...5,COMMON,FALSE
NEUTRAL,SPELL,0,0,COMMON,FALSE
NEUTRAL,HERO,0,>5,COMMON,TRUE
MAGIC,SPELL,0,0,COMMON,FALSE
MAGIC,SPELL,1...5,0,COMMON,TRUE
NEUTRAL,MINION,1...5,1...5,COMMON,TRUE
NEUTRAL,SPELL,1...5,0,COMMON,FALSE
NEUTRAL,SPELL,0,0,COMMON,FALSE
NEUTRAL,HERO,0,0,COMMON,FALSE
NEUTRAL,MINION,1...5,1...5,RARE,TRUE
PHYSICAL,SPELL,1...5,0,COMMON,TRUE
NEUTRAL,MINION,1...5,1...5,LEGENDARY,FALSE
NEUTRAL,SPELL,0,0,COMMON,FALSE
MAGIC,SPELL,1...5,0,RARE,TRUE
PHYSICAL,SPELL,1...5,0,RARE,TRUE
MAGIC,MINION,1...5,1...5,RARE,TRUE
NEUTRAL,SPELL,0,0,COMMON,FALSE
NEUTRAL,SPELL,1...5,0,COMMON,FALSE
NEUTRAL,HERO,0,>5,COMMON,FALSE
PHYSICAL,MINION,1...5,1...5,COMMON,FALSE
PHYSICAL,SPELL,1...5,0,COMMON,FALSE
NEUTRAL,HERO,0,0,COMMON,FALSE
NEUTRAL,MINION,1...5,1...5,RARE,TRUE
NEUTRAL,MINION,>5,>5,LEGENDARY,FALSE
NEUTRAL,MINION,0,1...5,COMMON,FALSE
NEUTRAL,HERO,0,>5,COMMON,FALSE
NEUTRAL,HERO,1...5,0,COMMON,FALSE
MAGIC,SPELL,0,0,COMMON,FALSE
MAGIC,SPELL,1...5,0,COMMON,TRUE
NEUTRAL,SPELL,0,0,COMMON,FALSE
NEUTRAL,SPELL,0,0,COMMON,FALSE
PHYSICAL,MINION,1...5,1...5,RARE,TRUE
MAGIC,SPELL,1...5,0,COMMON,TRUE
MAGIC,HERO,0,>5,RARE,TRUE
NEUTRAL,MINION,1...5,1...5,RARE,TRUE
NEUTRAL,MINION,1...5,>5,COMMON,TRUE
NEUTRAL,MINION,1...5,1...5,COMMON,TRUE
NEUTRAL,SPELL,0,0,COMMON,FALSE
NEUTRAL,HERO,0,0,COMMON,FALSE
PHYSICAL,SPELL,1...5,0,COMMON,FALSE
NEUTRAL,SPELL,1...5,0,COMMON,FALSE
NEUTRAL,MINION,1...5,1...5,COMMON,FALSE
MAGIC,MINION,0,1...5,COMMON,FALSE
MAGIC,SPELL,1...5,0,COMMON,TRUE
NEUTRAL,SPELL,0,0,COMMON,FALSE
PHYSICAL,SPELL,0,0,COMMON,FALSE
NEUTRAL,MINION,>5,>5,COMMON,TRUE
NEUTRAL,MINION,1...5,1...5,RARE,TRUE
NEUTRAL,SPELL,0,0,COMMON,FALSE
NEUTRAL,MINION,>5,>5,COMMON,TRUE
NEUTRAL,HERO,0,>5,COMMON,FALSE
MAGIC,SPELL,1...5,0,COMMON,TRUE
